"min_temp","winter_season","model_type","pred","lwr","upr"
-25,"2020-21","parallel",8.57453010949885,5.55741439973562,13.2296354582088
-24.5,"2020-21","parallel",8.91538067656069,5.88797811854548,13.4993729609218
-24,"2020-21","parallel",9.26978057024252,6.23702858364855,13.7772066726971
-23.5,"2020-21","parallel",9.63826839681226,6.60534229753343,14.0638007092652
-23,"2020-21","parallel",10.0214041729533,6.9936606638162,14.3599391542234
-22.5,"2020-21","parallel",10.419770176861,7.40266615041693,14.6665550401036
-22,"2020-21","parallel",10.8339718331713,7.83295089734463,14.9847671995161
-21.5,"2020-21","parallel",11.2646386330672,8.28497568523045,15.3159270895386
-21,"2020-21","parallel",11.71242509096,8.75901682042957,15.6616780540241
-20.5,"2020-21","parallel",12.178011739201,9.25509830717957,16.0240296750897
-20,"2020-21","parallel",12.6621025901601,9.77289615346685,16.4054584727029
-19.5,"2020-21","parallel",13.1653486746761,10.3114447820343,16.8091290201916
-19,"2020-21","parallel",13.688264845439,10.8690594990715,17.2387127418786
-18.5,"2020-21","parallel",14.2312543452266,11.4437837250674,17.697695544079
-18,"2020-21","parallel",14.7946444816773,12.0338549264249,18.1888103751847
-17.5,"2020-21","parallel",15.378711242406,12.6379906156948,18.7137945160045
-17,"2020-21","parallel",15.983703510665,13.2555260689258,19.2733790110185
-16.5,"2020-21","parallel",16.6098422735468,13.8864460093348,19.8673483601667
-16,"2020-21","parallel",17.2573163298228,14.531271302476,20.4947633767477
-15.5,"2020-21","parallel",17.9263129939845,15.1906375733772,21.1546550305098
-15,"2020-21","parallel",18.617042442941,15.8648175074625,21.8467227347074
-14.5,"2020-21","parallel",19.3297471481092,16.553466045468,22.571655010712
-14,"2020-21","parallel",20.0646739031065,17.2559423413242,23.3305797431814
-13.5,"2020-21","parallel",20.8220243509038,17.9718734172965,24.1241793775581
-13,"2020-21","parallel",21.6018691850858,18.7012030852839,24.9524455812559
-12.5,"2020-21","parallel",22.4040821690453,19.4441877024733,25.8145470264869
-12,"2020-21","parallel",23.2283283866442,20.2013656605172,26.7088497235768
-11.5,"2020-21","parallel",24.073875256363,20.9727557839885,27.6335392367168
-11,"2020-21","parallel",24.9394610784595,21.7572879809573,28.5870518158501
-10.5,"2020-21","parallel",25.823274699816,22.5529371589304,29.5678346249505
-10,"2020-21","parallel",26.7229076668405,23.3570798591066,30.5737617235597
-9.5,"2020-21","parallel",27.6353807556745,24.1670248560128,31.6015013871718
-9,"2020-21","parallel",28.5572454951625,24.9803832890355,32.6462673064318
-8.5,"2020-21","parallel",29.484726007395,25.7949018436563,33.7023599857177
-8,"2020-21","parallel",30.413902085171,26.6080485512397,34.7641217755999
-7.5,"2020-21","parallel",31.3409189809828,27.4167952159794,35.8266965498593
-7,"2020-21","parallel",32.2621966614093,28.2178341218524,36.8862234048431
-6.5,"2020-21","parallel",33.1746126104081,29.0081683147045,37.9394834555192
-6,"2020-21","parallel",34.0756337321546,29.7857226466761,38.9834024852013
-5.5,"2020-21","parallel",34.9633784038828,30.5495767365353,40.0148859657076
-5,"2020-21","parallel",35.8365987393884,31.2996623174154,41.0311713968032
-4.5,"2020-21","parallel",36.6945843870378,32.036122018957,42.0304468356273
-4,"2020-21","parallel",37.5370009521303,32.7587348112279,43.0122362356098
-3.5,"2020-21","parallel",38.3636864966427,33.4667317211542,43.9771787061711
-3,"2020-21","parallel",39.1744368210253,34.1590235175928,44.9262403374654
-2.5,"2020-21","parallel",39.9688131394805,34.8345602136374,45.8598017021413
-2,"2020-21","parallel",40.7460037232911,35.4924604089422,46.7771690181322
-1.5,"2020-21","parallel",41.5047641895045,36.1317520038389,47.676776101069
-1,"2020-21","parallel",42.2434500957464,36.7509045861458,48.5568748874969
-0.5,"2020-21","parallel",42.9601417061264,37.347546698634,49.416198346382
0,"2020-21","parallel",43.6528460661916,37.9186775436997,50.254151598049
0.5,"2020-21","parallel",44.3197480665379,38.4613510628398,51.0704906198467
1,"2020-21","parallel",44.9594722704525,38.9734644991862,51.8648822426292
1.5,"2020-21","parallel",45.5713129155048,39.4541821724067,52.6368675383489
2,"2020-21","parallel",46.1553919080956,39.9037599960482,53.3864528656164
2.5,"2020-21","parallel",46.7127139171462,40.3229425359192,54.1150398327547
3,"2020-21","parallel",47.2451026411176,40.7123762176563,54.8260733207146
3.5,"2020-21","parallel",47.7550206207841,41.0724144992917,55.5249069793753
4,"2020-21","parallel",48.2452935497842,41.4033367503757,56.2178928654518
4.5,"2020-21","parallel",48.7187757827846,41.7056328546281,56.9112359965028
5,"2020-21","parallel",49.1780040945475,41.9799163969936,57.6103121276471
5.5,"2020-21","parallel",49.6249220094634,42.2263791994765,58.3197738269696
6,"2020-21","parallel",50.0607573489356,42.4441341065321,59.0441878272015
6.5,"2020-21","parallel",50.485909778374,42.6306221105279,59.7886439363189
7,"2020-21","parallel",50.9000133893225,42.7818269306904,60.5586892591219
7.5,"2020-21","parallel",51.3021143428612,42.8932074846857,61.3595273094857
8,"2020-21","parallel",51.6909600961909,42.9609284794633,62.1950095176198
8.5,"2020-21","parallel",52.0653162078237,42.9826127856641,63.0672957304446
9,"2020-21","parallel",52.4242894201277,42.9571096709887,63.9779105776616
9.5,"2020-21","parallel",52.767477737691,42.8839308175429,64.9289058562393
10,"2020-21","parallel",53.0948570741418,42.7628510410992,65.9231968657598
-25,"2021-22","parallel",9.8072480323213,6.41544459741524,14.9922756727135
-24.5,"2021-22","parallel",10.1971010050725,6.79756070873911,15.2967915055132
-24,"2021-22","parallel",10.6024512243359,7.20109914195307,15.6103908234672
-23.5,"2021-22","parallel",11.0239147291473,7.6269617979047,15.9338278040015
-23,"2021-22","parallel",11.462132047028,8.07600781273823,16.2679970240098
-22.5,"2021-22","parallel",11.9177691674387,8.54902434030709,16.6139685974097
-22,"2021-22","parallel",12.3915185539309,9.0466877504408,16.9730332590435
-21.5,"2021-22","parallel",12.8841001965314,9.56951245969961,17.3467602005162
-21,"2021-22","parallel",13.396262705962,10.1177840716281,17.7370710045477
-20.5,"2021-22","parallel",13.9287844513552,10.6914731762427,18.1463333531456
-20,"2021-22","parallel",14.4824706574685,11.2901136199102,18.577488536037
-19.5,"2021-22","parallel",15.0580659506352,11.912443059919,19.0343281418563
-19,"2021-22","parallel",15.6561592013782,12.5563011684217,19.5212999155633
-18.5,"2021-22","parallel",16.2772116247014,13.2191606523272,20.0426959958817
-18,"2021-22","parallel",16.9215975836492,13.8986935209364,20.6019698435418
-17.5,"2021-22","parallel",17.589632743215,14.5931329287138,21.2014227207105
-17,"2021-22","parallel",18.2816017673694,15.3014599554933,21.8421617383443
-16.5,"2021-22","parallel",18.9977574134298,16.0234597704676,22.5241484616649
-16,"2021-22","parallel",19.7383156228363,16.7595955456719,23.2464502239922
-15.5,"2021-22","parallel",20.5034906393611,17.5105024693645,24.0080562584579
-15,"2021-22","parallel",21.2935228560118,18.2764139208088,24.808702494052
-14.5,"2021-22","parallel",22.1086896031254,19.0568664645067,25.649240754125
-14,"2021-22","parallel",22.9492731546208,19.8511049051874,26.5309735070603
-13.5,"2021-22","parallel",23.815504142685,20.658766496792,27.4546032386938
-13,"2021-22","parallel",24.7074634241709,21.4799364018059,28.4199514112816
-12.5,"2021-22","parallel",25.6250066140565,22.3151256804323,29.4258241416151
-12,"2021-22","parallel",26.5677506469615,23.1652084189338,30.4700636262011
-11.5,"2021-22","parallel",27.5348576217331,24.0304669251913,31.5502976537805
-11,"2021-22","parallel",28.524884450277,24.9099359409379,32.6644369873486
-10.5,"2021-22","parallel",29.5357595989204,25.8015752961315,33.8103811520381
-10,"2021-22","parallel",30.5647283625717,26.7026883106652,34.985339641053
-9.5,"2021-22","parallel",31.6083832090455,27.610519898688,36.1851168596555
-9,"2021-22","parallel",32.6627798974884,28.5226557648414,37.4038518512305
-8.5,"2021-22","parallel",33.7235997106386,29.4368121696719,38.6346582261752
-8,"2021-22","parallel",34.7863588524316,30.3503627649198,39.8707182376355
-7.5,"2021-22","parallel",35.8466483973137,31.260100510347,41.106144265125
-7,"2021-22","parallel",36.900373628108,32.1624858359235,42.3362043854553
-6.5,"2021-22","parallel",37.943963120034,33.0543005675353,43.5569445589349
-6,"2021-22","parallel",38.9745196065684,33.9333133253252,44.7646583756709
-5.5,"2021-22","parallel",39.989890953316,34.7985219649974,45.9557270871067
-5,"2021-22","parallel",40.988649871625,35.6498077280135,47.1270260730878
-4.5,"2021-22","parallel",41.9699838861092,36.4872216808239,48.2766148326942
-4,"2021-22","parallel",42.9335105277901,37.3103480793405,49.4041578577641
-3.5,"2021-22","parallel",43.8790445776136,38.1180990926797,50.5106655072932
-3,"2021-22","parallel",44.8063524792673,38.9089659319421,51.5975990214689
-2.5,"2021-22","parallel",45.7149323648825,39.68142068732,52.6658321432927
-2,"2021-22","parallel",46.6038558075061,40.434070887906,53.7150805850827
-1.5,"2021-22","parallel",47.4716995253829,41.1653893414678,54.7441015833688
-1,"2021-22","parallel",48.3165826627654,41.8732145300255,55.751443647439
-0.5,"2021-22","parallel",49.1363094927982,42.5544550581704,56.7361726820773
0,"2021-22","parallel",49.9286005437917,43.2053426373352,57.6980762121615
0.5,"2021-22","parallel",50.6913797570108,43.8222106635609,58.6372969952922
1,"2021-22","parallel",51.4230739559873,44.4023886520757,59.5538351732193
1.5,"2021-22","parallel",52.1228759143053,44.9446880159801,60.4475036652187
2,"2021-22","parallel",52.7909250642476,45.4492171228463,61.318586888004
2.5,"2021-22","parallel",53.4283705110339,45.9167187003548,62.1688756570983
3,"2021-22","parallel",54.0372981372619,46.3479257463897,63.0023791345784
3.5,"2021-22","parallel",54.6205245110535,46.7433527650539,63.8251541958931
4,"2021-22","parallel",55.1812815620912,47.1035406347887,64.6442665200818
4.5,"2021-22","parallel",55.7228340015407,47.4293634361152,65.4664959470851
5,"2021-22","parallel",56.2480833037659,47.7219143199564,66.2975683275205
5.5,"2021-22","parallel",56.7592524040776,47.9818805580605,67.1422773763833
6,"2021-22","parallel",57.2577456417093,48.2087960194054,68.0052128796373
6.5,"2021-22","parallel",57.7440201399966,48.4003733953193,68.8914491360266
