"min_temp","winter_season"
4.2,"2020-21"
2.5,"2020-21"
-4.5,"2020-21"
-4.7,"2020-21"
5.6,"2020-21"
6,"2020-21"
2.3,"2020-21"
0.4,"2020-21"
-0.2,"2020-21"
-0.7,"2020-21"
3.3,"2020-21"
7.1,"2020-21"
5.9,"2020-21"
3.9,"2020-21"
3.2,"2020-21"
-0.6,"2020-21"
-1.8,"2020-21"
-0.4,"2020-21"
0.9,"2020-21"
1.7,"2020-21"
-3.4,"2020-21"
-4.3,"2020-21"
-4.9,"2020-21"
-5,"2020-21"
0.4,"2020-21"
2.8,"2020-21"
3.4,"2020-21"
3.9,"2020-21"
0.5,"2020-21"
-2,"2020-21"
-6.7,"2020-21"
-7,"2020-21"
-7.1,"2020-21"
-6.8,"2020-21"
1,"2020-21"
0.5,"2020-21"
0.7,"2020-21"
0.6,"2020-21"
1.7,"2020-21"
-2.1,"2020-21"
-4.6,"2020-21"
-4.6,"2020-21"
-2.3,"2020-21"
-2.4,"2020-21"
-4,"2020-21"
-2.2,"2020-21"
-0.9,"2020-21"
-0.3,"2020-21"
-0.6,"2020-21"
0.3,"2020-21"
0.1,"2020-21"
0.8,"2020-21"
-0.2,"2020-21"
-5.9,"2020-21"
-7.9,"2020-21"
-2.2,"2020-21"
-2.7,"2020-21"
-3,"2020-21"
-1.1,"2020-21"
-0.1,"2020-21"
2.3,"2020-21"
1.8,"2020-21"
0,"2020-21"
-1.4,"2020-21"
-2.2,"2020-21"
-3.1,"2020-21"
-6.6,"2020-21"
-0.1,"2020-21"
-8.5,"2020-21"
-10.3,"2020-21"
-6.1,"2020-21"
-1.8,"2020-21"
-4.5,"2020-21"
-9,"2020-21"
-12,"2020-21"
-11.8,"2020-21"
-10.3,"2020-21"
-9.5,"2020-21"
-9.3,"2020-21"
-7.4,"2020-21"
-5.7,"2020-21"
-3.6,"2020-21"
-6.8,"2020-21"
-8.1,"2020-21"
-11.6,"2020-21"
-11.4,"2020-21"
-9.3,"2020-21"
-9.8,"2020-21"
-10.8,"2020-21"
-13.2,"2020-21"
-11.7,"2020-21"
-11,"2020-21"
-8.3,"2020-21"
-12.3,"2020-21"
-11.8,"2020-21"
-5.8,"2020-21"
-5.3,"2020-21"
-7,"2020-21"
-8.1,"2020-21"
0,"2020-21"
0.9,"2020-21"
0.2,"2020-21"
-2.5,"2020-21"
-3.3,"2020-21"
1.3,"2020-21"
1.4,"2020-21"
-11.8,"2020-21"
-12.6,"2020-21"
-0.5,"2020-21"
-7.6,"2020-21"
-8.7,"2020-21"
-6.5,"2020-21"
-7.6,"2020-21"
-6.1,"2020-21"
1.7,"2020-21"
3.3,"2020-21"
6.8,"2020-21"
-3.9,"2020-21"
-5,"2020-21"
-6.2,"2020-21"
-7.7,"2020-21"
-0.6,"2020-21"
2.2,"2020-21"
-2.4,"2020-21"
-4.2,"2020-21"
0.5,"2020-21"
2.3,"2020-21"
3.9,"2020-21"
6.7,"2020-21"
8.1,"2020-21"
8.6,"2020-21"
4.2,"2020-21"
4.3,"2020-21"
1.8,"2020-21"
0.3,"2020-21"
3.3,"2020-21"
-0.1,"2020-21"
-2.2,"2020-21"
-3.4,"2020-21"
-1.8,"2020-21"
2.2,"2020-21"
7.2,"2020-21"
8.2,"2020-21"
8.6,"2020-21"
10.5,"2020-21"
12.4,"2020-21"
11.5,"2020-21"
9.9,"2020-21"
6.7,"2020-21"
6.4,"2020-21"
5.5,"2020-21"
5.3,"2020-21"
1.8,"2021-22"
1.6,"2021-22"
5.9,"2021-22"
2.3,"2021-22"
1.8,"2021-22"
2.5,"2021-22"
2.3,"2021-22"
-1.3,"2021-22"
-1.7,"2021-22"
-0.7,"2021-22"
3.2,"2021-22"
-1.6,"2021-22"
-3,"2021-22"
-3.3,"2021-22"
-4.2,"2021-22"
-0.9,"2021-22"
1.9,"2021-22"
1.8,"2021-22"
0.6,"2021-22"
0.9,"2021-22"
-0.2,"2021-22"
-1.4,"2021-22"
-5,"2021-22"
-5,"2021-22"
-4,"2021-22"
3.2,"2021-22"
0.9,"2021-22"
1,"2021-22"
3.9,"2021-22"
2.6,"2021-22"
4.6,"2021-22"
5.1,"2021-22"
0.9,"2021-22"
-2.9,"2021-22"
-5.1,"2021-22"
-3.5,"2021-22"
0.4,"2021-22"
-3.1,"2021-22"
-4.5,"2021-22"
0.8,"2021-22"
3.4,"2021-22"
-5.3,"2021-22"
-4.5,"2021-22"
0.4,"2021-22"
1.1,"2021-22"
2.1,"2021-22"
3,"2021-22"
-2.6,"2021-22"
-11.2,"2021-22"
-12.6,"2021-22"
-4.9,"2021-22"
-5.5,"2021-22"
-6.3,"2021-22"
-12.2,"2021-22"
-12.6,"2021-22"
-7.8,"2021-22"
-18.7,"2021-22"
-19.7,"2021-22"
-0.1,"2021-22"
-1.9,"2021-22"
-19.2,"2021-22"
-20.2,"2021-22"
-11.7,"2021-22"
-4.9,"2021-22"
-9.8,"2021-22"
-11.2,"2021-22"
-16.7,"2021-22"
-17.5,"2021-22"
-12.1,"2021-22"
-14.4,"2021-22"
-12.6,"2021-22"
-11.9,"2021-22"
-13.9,"2021-22"
-8.9,"2021-22"
-16.3,"2021-22"
-18.5,"2021-22"
-10.3,"2021-22"
-5.6,"2021-22"
-2.1,"2021-22"
-2.5,"2021-22"
-10,"2021-22"
-12.7,"2021-22"
-13.7,"2021-22"
-5,"2021-22"
-1.1,"2021-22"
-3.5,"2021-22"
-1.6,"2021-22"
0.1,"2021-22"
0,"2021-22"
-14,"2021-22"
-15.4,"2021-22"
-15.2,"2021-22"
-8.9,"2021-22"
-1.5,"2021-22"
-6.3,"2021-22"
-10.1,"2021-22"
-8.6,"2021-22"
-7.3,"2021-22"
-0.1,"2021-22"
0,"2021-22"
-9.6,"2021-22"
-10.3,"2021-22"
-9.8,"2021-22"
-10,"2021-22"
-9,"2021-22"
-10.9,"2021-22"
-1.5,"2021-22"
-6.4,"2021-22"
-8.9,"2021-22"
-8.4,"2021-22"
-0.7,"2021-22"
3.7,"2021-22"
-1.2,"2021-22"
-2,"2021-22"
0,"2021-22"
-2,"2021-22"
-2.6,"2021-22"
-7.7,"2021-22"
-8.7,"2021-22"
-2.1,"2021-22"
0.9,"2021-22"
0.4,"2021-22"
1,"2021-22"
5.9,"2021-22"
4.6,"2021-22"
2.7,"2021-22"
1.4,"2021-22"
0.4,"2021-22"
1.5,"2021-22"
4.7,"2021-22"
3.8,"2021-22"
-1.3,"2021-22"
-7.8,"2021-22"
-9.8,"2021-22"
-6.6,"2021-22"
-1.3,"2021-22"
3.6,"2021-22"
-0.8,"2021-22"
-1,"2021-22"
1.1,"2021-22"
0.3,"2021-22"
3.7,"2021-22"
7.4,"2021-22"
6.3,"2021-22"
3.5,"2021-22"
2,"2021-22"
2.4,"2021-22"
3.6,"2021-22"
7.4,"2021-22"
8.7,"2021-22"
7.1,"2021-22"
2.9,"2021-22"
-0.9,"2022-23"
-1,"2022-23"
-1.7,"2022-23"
-2.3,"2022-23"
-3.9,"2022-23"
-5.3,"2022-23"
-4.5,"2022-23"
0.7,"2022-23"
0.4,"2022-23"
1.3,"2022-23"
2.7,"2022-23"
2,"2022-23"
3.4,"2022-23"
1.2,"2022-23"
1.8,"2022-23"
-1.3,"2022-23"
-1.5,"2022-23"
0.8,"2022-23"
0.5,"2022-23"
-1.7,"2022-23"
1.2,"2022-23"
5.5,"2022-23"
5.7,"2022-23"
-0.6,"2022-23"
-2.1,"2022-23"
-4.2,"2022-23"
-2.1,"2022-23"
-5.4,"2022-23"
-6,"2022-23"
-5.2,"2022-23"
0.7,"2022-23"
0,"2022-23"
-1,"2022-23"
-1.6,"2022-23"
-1,"2022-23"
-1.5,"2022-23"
-2.5,"2022-23"
1,"2022-23"
-13.7,"2022-23"
-13.5,"2022-23"
-7.9,"2022-23"
-7.3,"2022-23"
-5.5,"2022-23"
0.7,"2022-23"
4.7,"2022-23"
9.9,"2022-23"
4.2,"2022-23"
3.3,"2022-23"
3.5,"2022-23"
2.7,"2022-23"
2.6,"2022-23"
3.2,"2022-23"
2.9,"2022-23"
-4,"2022-23"
-4.6,"2022-23"
